scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,275,22.47,20.81,1.66,0.073876279,56.93,227.67,173.85,6.78,11.61,38.73,52.87,15.83,6.76,26.41,,
158,276,23.02,21.33,1.69,0.073414422,56.93,227.67,173.85,6.78,11.61,39.74,54.17,15.83,6.76,26.41,,
158,277,22.11,20.91,1.2,0.054274084,56.93,227.67,173.85,6.78,11.61,38.06,52.02,15.83,6.76,30.25,,
158,278,22.66,21.74,0.92,0.040600177,56.93,227.67,173.85,6.78,11.61,39.07,53.32,15.83,6.76,30.25,,
158,279,23.21,22.27,0.94,0.040499785,56.93,227.67,173.85,6.78,11.61,40.08,54.62,15.83,6.76,30.25,,
158,280,22.86,20.82,2.04,0.089238845,56.93,227.67,173.85,8.83,11.88,39.53,53.79,15.46,6.97,22.64,,
158,281,23.41,21.64,1.77,0.075608714,56.93,227.67,173.85,8.83,11.88,40.54,55.09,15.46,6.97,22.64,,
158,282,23.96,22.14,1.82,0.075959933,56.93,227.67,173.85,8.83,11.88,41.55,56.39,15.46,6.97,22.64,,
158,283,23.06,21.97,1.09,0.047267997,56.93,227.67,173.85,6.78,11.61,39.81,54.26,15.83,6.76,26.41,,
158,284,23.61,22.74,0.87,0.036848793,56.93,227.67,173.85,6.78,11.61,40.82,55.57,15.83,6.76,26.41,,
158,285,24.16,23.29,0.87,0.036009934,56.93,227.67,173.85,6.78,11.61,41.83,56.87,15.83,6.76,26.41,,
158,286,23.25,22.64,0.61,0.026236559,56.93,227.67,173.85,6.78,11.61,40.15,54.71,15.83,6.76,30.25,,
158,287,23.8,23.5,0.3,0.012605042,56.93,227.67,173.85,6.78,11.61,41.16,56.02,15.83,6.76,30.25,,
158,288,24.35,24.02,0.33,0.013552361,56.93,227.67,173.85,6.78,11.61,42.17,57.32,15.83,6.76,30.25,,
158,289,24,22.66,1.34,0.055833333,56.93,227.67,173.85,8.8,11.87,41.62,56.49,15.46,6.97,22.58,,
158,290,24.55,23.46,1.09,0.044399185,56.93,227.67,173.85,8.8,11.87,42.63,57.79,15.46,6.97,22.58,,
158,291,25.11,24.01,1.1,0.043807248,56.93,227.67,173.85,8.8,11.87,43.64,59.12,15.46,6.97,22.58,,
158,292,24.2,23.54,0.66,0.027272727,56.93,227.67,173.85,6.78,11.61,41.9,56.96,15.83,6.76,26.41,,
158,293,24.75,24.37,0.38,0.015353535,56.93,227.67,173.85,6.78,11.61,42.91,58.27,15.83,6.76,26.41,,
158,294,25.3,24.9,0.4,0.015810277,56.93,227.67,173.85,6.78,11.61,43.92,59.57,15.83,6.76,26.41,,
158,295,24.39,24.01,0.38,0.015580156,56.93,227.67,173.85,6.78,11.61,42.25,57.41,15.83,6.76,30.25,,
158,296,24.94,24.91,0.03,0.001202887,56.93,227.67,173.85,6.78,11.61,43.26,58.72,15.83,6.76,30.25,,
158,297,25.49,25.44,0.05,0.001961554,56.93,227.67,173.85,6.78,11.61,44.26,60.02,15.83,6.76,30.25,,
158,298,25.15,24.22,0.93,0.036978131,56.93,227.67,173.85,8.82,11.88,43.72,59.21,15.46,6.97,22.64,,
158,299,25.7,25,0.7,0.027237354,56.93,227.67,173.85,8.82,11.88,44.73,60.51,15.46,6.97,22.64,,
158,300,26.25,25.5,0.75,0.028571429,56.93,227.67,173.85,8.82,11.88,45.74,61.82,15.46,6.97,22.64,,
158,301,25.34,24.84,0.5,0.01973165,56.93,227.67,173.85,6.78,11.61,43.99,59.66,15.83,6.76,26.41,,
158,302,25.89,25.7,0.19,0.007338741,56.93,227.67,173.85,6.78,11.61,45,60.96,15.83,6.76,26.41,,
158,303,26.44,26.22,0.22,0.008320726,56.93,227.67,173.85,6.78,11.61,46.01,62.27,15.83,6.76,26.41,,
158,304,25.53,25.14,0.39,0.015276146,56.93,227.67,173.85,6.78,11.61,44.34,60.11,15.83,6.76,30.25,,
158,305,26.08,26.08,0,0,56.93,227.67,173.85,6.78,11.61,45.35,61.41,15.83,6.76,30.25,,
158,306,26.63,26.62,0.01,0.000375516,56.93,227.67,173.85,6.78,11.61,46.36,62.72,15.83,6.76,30.25,,
158,307,26.29,25.45,0.84,0.031951312,56.93,227.67,173.85,8.8,11.87,45.81,61.91,15.46,6.97,22.58,,
158,308,26.84,26.27,0.57,0.02123696,56.93,227.67,173.85,8.8,11.87,46.82,63.21,15.46,6.97,22.58,,
158,309,27.39,26.78,0.61,0.022270902,56.93,227.67,173.85,8.8,11.87,47.83,64.52,15.46,6.97,22.58,,
158,310,26.48,25.92,0.56,0.021148036,56.93,227.67,173.85,6.78,11.61,46.08,62.36,15.83,6.76,26.41,,
158,311,27.03,26.8,0.23,0.008509064,56.93,227.67,173.85,6.78,11.61,47.09,63.66,15.83,6.76,26.41,,
158,312,27.58,27.35,0.23,0.008339376,56.93,227.67,173.85,6.78,11.61,48.1,64.97,15.83,6.76,26.41,,
158,313,26.67,26.14,0.53,0.019872516,56.93,227.67,173.85,6.78,11.61,46.43,62.81,15.83,6.76,30.25,,
158,314,27.22,27.07,0.15,0.005510654,56.93,227.67,173.85,6.78,11.61,47.44,64.11,15.83,6.76,30.25,,
158,315,27.77,27.63,0.14,0.005041412,56.93,227.67,173.85,6.78,11.61,48.45,65.42,15.83,6.76,30.25,,
