"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"57",0.3805966766,1.2158733E+1,3.4006352E+1,3.0193050000,0.0000000000,1.5864414E+1,1.5864414E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.5429401E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"58",0.4186563454,1.2645714E+1,4.6136495E+1,3.3984005250,4.1765645180,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.6775831E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"59",0.5049249245,1.3337042E+1,5.2530977E+1,3.5606563500,0.0000000000,3.3100116793,3.3100116793,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3243613E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"60",0.6079397584,1.4071180E+1,5.2103959E+1,3.5187839250,0.0000000000,6.5735862600,6.5735862600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.6875449E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"61",0.6810143220,1.4536019E+1,4.4678482E+1,3.5546745750,0.0000000000,1.3054530E+1,1.3054530E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.6504721E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"62",0.7728649872,1.4867497E+1,2.9787614E+1,3.1710927750,1.2855000E+1,8.7771743200,8.7771743200,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.0231243E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"63",0.9514916934,1.6630180E+1,1.0106057E+1,2.8450855500,9.2275530592,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.4602052E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"64",1.1240288516,1.8393730E+1,0.0608449443,2.5968415500,1.2855000E+1,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,2.8981758665,0.0000000000,0.0000000000,6.2770306E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"65",1.2234914499,1.9118475E+1,0.0000000000,2.8555536750,1.2855000E+1,2.3579235E+1,2.3579235E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9631755E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7647675244,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"66",1.2711929022,1.9663937E+1,0.0000000000,3.2406309750,1.2855000E+1,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.9505228743,0.0000000000,0.0000000000,6.2822969E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7647675244,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"67",1.2782973735,2.0044667E+1,0.0000000000,3.8612409750,1.2855000E+1,2.4841685E+1,2.4841685E+1,0.0000000000,1.5164868392,1.6760062738,0.0000000000,0.0000000000,6.6073383E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.7642171303,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
