"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"54",0.0000000000,1.3950908E+1,0.0000000000,2.3598134250,0.0000000000,1.8694953E+1,1.8694953E+1,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,5.0229338E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.6600000E+1,8.6812776694,1.0195206E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"55",0.0000000000,1.4156888E+1,2.1118150343,2.3979473250,7.6291921646,2.3219368E+1,2.3219368E+1,0.0000000000,0.0000000000,0.0000000000,6.1376594224,0.0000000000,5.5652871E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.6600000E+1,8.6812776694,1.0164759E+4,0.0000000000,1.0817495E+2,1.0725410E+2
"56",0.0000000000,1.3709458E+1,1.6922807E+1,2.7119909250,0.6272564095,2.3219368E+1,2.3219368E+1,2.7000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9890881E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.6600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"57",0.0000000000,1.2987340E+1,3.3254533E+1,3.0193050000,0.0000000000,1.6168223E+1,1.6168223E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.5429401E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.3600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"58",0.0000000000,1.3507509E+1,4.5116501E+1,3.3984005250,2.0534206086,0.0000000000,0.0000000000,2.7000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6.6775831E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.3600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"59",0.0000000000,1.4245950E+1,5.1369613E+1,3.5606563500,1.3673933351,0.0000000000,0.0000000000,2.7000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3243613E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.0600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"60",0.0000000000,1.5030118E+1,5.0952035E+1,3.5187839250,4.6745113336,0.0000000000,0.0000000000,2.7000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.6875449E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,5.7600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"61",0.0000000000,1.5526636E+1,4.3690722E+1,3.5546745750,0.0000000000,1.3732688E+1,1.3732688E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.6504721E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,5.4600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"62",0.0000000000,1.5880704E+1,2.9129064E+1,3.1710927750,5.2288300660,1.6821552E+1,1.6821552E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.0231243E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,5.4600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"63",0.0000000000,1.7763512E+1,9.8826306360,2.8450855500,5.2907511659,2.3219368E+1,2.3219368E+1,0.0000000000,0.0000000000,0.0000000000,5.6007046619,0.0000000000,6.4602052E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,5.4600000E+1,8.6812776694,1.0152484E+4,0.0000000000,1.0817495E+2,1.0725410E+2
